method,seed,front_index,is_selected,raw_f1_iv,raw_f2_deg,raw_f3_cta,constraint_aware_f1_iv,constraint_aware_f2_deg,constraint_aware_f3_cta,norm_f1_iv,norm_f2_deg,norm_f3_cta,normalized_average
Knowledge-constrained NSGA-II,42,0,False,0.10819530487060547,0.012227916158735752,0.2338654100894928,0.10819530487060547,0.012227916158735752,0.2338654100894928,0.12070282577240617,0.1167565643784738,0.11961263231372839,0.11902400748820278
Knowledge-constrained NSGA-II,42,1,False,0.14434711635112762,0.0057079545222222805,0.39957988262176514,0.14434711635112762,0.0057079545222222805,0.39957988262176514,0.16103383466146054,0.05450161343861798,0.20436883574065273,0.1399680946135771
Knowledge-constrained NSGA-II,42,2,False,0.10950787365436554,0.01163388229906559,0.2261229157447815,0.10950787365436554,0.01163388229906559,0.2261229157447815,0.12216712925036173,0.1110845143186586,0.11565266179525503,0.11630143512142511
Knowledge-constrained NSGA-II,42,3,False,0.05542703717947006,0.009226532652974129,0.36761149764060974,0.05542703717947006,0.009226532652974129,0.36761149764060974,0.06183447627191676,0.08809826954181886,0.18801830884164955,0.11265035155179505
Knowledge-constrained NSGA-II,42,4,False,0.1594015210866928,0.006763604003936052,0.32240039110183716,0.1594015210866928,0.006763604003936052,0.32240039110183716,0.17782854857328284,0.06458133635074823,0.16489466921982773,0.1357681847146196
Knowledge-constrained NSGA-II,42,5,False,0.06859513372182846,0.006998972035944462,0.4776519536972046,0.06859513372182846,0.006998972035944462,0.4776519536972046,0.07652482225880926,0.06682871541559339,0.24429952035084926,0.1292176860084173
Knowledge-constrained NSGA-II,42,6,False,0.09745460003614426,0.010396991856396198,0.26610687375068665,0.09745460003614426,0.010396991856396198,0.26610687375068665,0.10872048119786791,0.09927423718525871,0.13610282783553326,0.11469918207288661
Knowledge-constrained NSGA-II,42,7,False,0.08068294823169708,0.011911921203136444,0.25354018807411194,0.08068294823169708,0.011911921203136444,0.25354018807411194,0.09001000417588731,0.11373933029723211,0.12967547993205697,0.11114160480172547
Knowledge-constrained NSGA-II,42,8,False,0.08962961286306381,0.007048478350043297,0.46088308095932007,0.08962961286306381,0.007048478350043297,0.46088308095932007,0.09999091511777598,0.06730141960117877,0.23572292491356445,0.13433841987750642
Knowledge-constrained NSGA-II,42,9,False,0.11180092394351959,0.01077330019325018,0.24339227378368378,0.11180092394351959,0.01077330019325018,0.24339227378368378,0.12472525919759128,0.10286736523648922,0.1244852350800811,0.11735928650472054
