config,average_objective_mean,average_objective_std,hv_mean,hv_std,igd_mean,igd_std,runs,rank_average_objective,rank_hv,rank_igd,selection_score
stable_decomposition,0.1387193612754345,0.016322339576850625,0.7098333333333334,0.04986370312049527,0.08594963120278651,0.05664673038164934,10,1.0,1.0,1.0,1.0
default,0.14562199935317038,0.022455554738716885,0.7024999999999999,0.05153058542815034,0.08848749347125706,0.04310632642175426,10,2.0,2.0,3.0,2.3333333333333335
exploitative,0.14885101914405824,0.02318846285025682,0.7015,0.037339781189225776,0.0872698020266465,0.03562413518781224,10,4.0,3.0,2.0,3.0
low_immigrant,0.14634805768728257,0.013924180536241375,0.69025,0.036366723529167595,0.10535325153519393,0.03837207905834854,10,3.0,4.0,4.0,3.6666666666666665
large_neighborhood,0.1614059790968895,0.02313415128895464,0.6684166666666667,0.04290826059350917,0.11740623413947548,0.06377963325153131,10,5.0,5.0,5.0,5.0
