method,front_points_mean,front_points_std,Final_F1_IV_mean,Final_F1_IV_std,Final_F2_DEG_mean,Final_F2_DEG_std,Final_F3_CTA_mean,Final_F3_CTA_std,Average_objective_mean,Average_objective_std,Raw_average_objective_mean,Raw_average_objective_std,HV_mean,HV_std,IGD_mean,IGD_std,KCSR_mean,KCSR_std,PAM_mean,PAM_std,Convergence_Generation_mean,Convergence_Generation_std
Knowledge-constrained NSGA-II,140.0,0.0,0.07197359204292297,0.005952364348590756,0.009335673414170742,0.0008947792429025622,0.28611962000528973,0.0380513836230789,0.1224762996037801,0.012177160482769638,0.1224762996037801,0.012177160482769638,0.8341666666666666,0.022684429314693666,0.010422366767886415,0.006522481709538021,1.0,0.0,0.07582336664199829,0.0036727328726356566,64.33333333333333,31.342197327777345
NSGA-II,135.0,0.0,0.10840045660734177,0.012983241038743766,0.011860545724630356,0.00046919950043768414,0.25325334072113037,0.005897610236270489,0.12450478225946426,0.002719986532394508,0.12450478225946426,0.002719986532394508,0.7791666666666667,0.011273124382057275,0.033244921516010405,0.007242872014053001,1.0,0.0,0.10094326237837474,0.004090247815036369,195.0,54.11099703387473
NSGA-III,132.66666666666666,4.041451884327381,0.09587780386209488,0.013219054530786829,0.011718562183280786,0.0018346753615080041,0.24224594235420227,0.032725821065240725,0.11661410331726074,0.014592476925302857,0.11661410331726074,0.014592476925302857,0.7830555555555555,0.025073964658659464,0.0347145897852757,0.015537629053166753,1.0,0.0,0.10228287428617477,0.0055248262905439795,201.0,79.61783719745218
MOEA/D,126.0,4.358898943540674,0.12183800091346104,0.02013658483675732,0.017736084448794525,0.005176137816933135,0.247238427400589,0.028626161632024978,0.12893750021855035,0.014283215989097573,0.12893750021855035,0.014283215989097573,0.7413888888888889,0.01835856849095365,0.0898727912464436,0.0359515412667079,1.0,0.0,0.1253399004538854,0.011142325040226601,118.33333333333333,121.50034293504416
