metric,baseline_start_min,baseline_start_max,baseline_start_spread,estimated_one_tick,within_one_tick,NSGA-II,NSGA-III,MOEA/D
F1-IV,0.4113958408435186,0.4113958408435186,0.0,0.09668095335364342,True,0.4113958408435186,0.4113958408435186,0.4113958408435186
F2-DEG,0.07812095917761322,0.07812095917761322,0.0,0.018877253774553536,True,0.07812095917761322,0.07812095917761322,0.07812095917761322
F3-CTA,1.0057331800460816,1.0057331800460816,0.0,0.22389452755451197,True,1.0057331800460816,1.0057331800460816,1.0057331800460816
Average objective value,0.498416664203008,0.498416664203008,0.0,0.10640932321548464,True,0.498416664203008,0.498416664203008,0.498416664203008
Hypervolume,0.25449999999999995,0.25449999999999995,0.0,0.14466666666666667,True,0.25449999999999995,0.25449999999999995,0.25449999999999995
IGD,0.682272352416769,0.682272352416769,0.0,0.18002431967816174,True,0.682272352416769,0.682272352416769,0.682272352416769
